"","first_name","second_name","team_name","now_cost","position","chance_of_playing_this_round","form","total_points","points_last_5","difficulty_next_5","t_score"
"1","Anthony","Martial","Man Utd",7.5,"Midfielder",NA,11.3,51,9.8,3,3.26666666666667
"2","Mathew","Ryan","Brighton",4.5,"Goalkeeper",NA,7.3,46,6.8,2.2,3.09090909090909
"3","Raheem","Sterling","Man City",11.1,"Midfielder",100,7.5,77,8.8,3.4,2.58823529411765
"4","Gylfi","Sigurdsson","Everton",7.5,"Midfielder",NA,5.3,58,8,3.2,2.5
"5","Pierre-Emerick","Aubameyang","Arsenal",10.9,"Forward",100,9.3,65,7.8,3.2,2.4375
"6","Lewis","Dunk","Brighton",4.4,"Defender",100,6.3,31,5.2,2.2,2.36363636363636
"7","Bruno","Saltor Grau","Brighton",4.4,"Defender",100,6.3,27,5.2,2.2,2.36363636363636
"8","Callum","Wilson","Bournemouth",6.7,"Forward",NA,7,70,8,3.4,2.35294117647059
"9","Johann Berg","Gudmundsson","Burnley",6,"Midfielder",100,3.3,49,6,2.6,2.30769230769231
"10","Mohamed","Salah","Liverpool",13,"Midfielder",100,7,67,6,2.6,2.30769230769231
"11","Ross","Barkley","Chelsea",5.9,"Midfielder",100,9.5,46,7.8,3.4,2.29411764705882
"12","Jordan","Pickford","Everton",4.9,"Goalkeeper",NA,9.3,48,7.2,3.2,2.25
"13","Felipe Anderson","Pereira Gomes","West Ham",6.8,"Midfielder",NA,5.7,43,5.8,2.6,2.23076923076923
"14","Matt","Doherty","Wolves",4.9,"Defender",100,1.3,53,6.2,2.8,2.21428571428571
"15","Richarlison","de Andrade","Everton",6.8,"Midfielder",100,7.7,56,6.6,3.2,2.0625
"16","Kieran","Trippier","Spurs",6.3,"Defender",100,4,58,6,3,2
"17","Gaëtan","Bong","Brighton",4.5,"Defender",100,4.3,27,4,2.2,1.81818181818182
"18","Glenn","Murray","Brighton",6.6,"Forward",100,3.3,49,4,2.2,1.81818181818182
"19","Davinson","Sánchez","Spurs",5.8,"Defender",NA,3,35,5.4,3,1.8
