"","X1","second_name","first_name","team_name","position","mean_points_last_5","difficulty_next_5","t_score","t_score_cpt","id"
"1",1,"Martial","Anthony","Man Utd","Midfielder",9.8,3,3.27,1.96,301
"2",2,"Ryan","Mathew","Brighton","Goalkeeper",6.8,2.2,3.09,3.4,47
"3",3,"Sterling","Raheem","Man City","Midfielder",8.8,3.4,2.59,2.2,270
"4",4,"Sigurdsson","Gylfi","Everton","Midfielder",8,3.2,2.5,2,172
"5",5,"Aubameyang","Pierre-Emerick","Arsenal","Forward",7.8,3.2,2.44,2.6,23
"6",6,"Dunk","Lewis","Brighton","Defender",5.2,2.2,2.36,2.6,48
"7",7,"Saltor Grau","Bruno","Brighton","Defender",5.2,2.2,2.36,2.6,50
"8",8,"Wilson","Callum","Bournemouth","Forward",8,3.4,2.35,4,43
"9",9,"Gudmundsson","Johann Berg","Burnley","Midfielder",6,2.6,2.31,2,76
"10",10,"Salah","Mohamed","Liverpool","Midfielder",6,2.6,2.31,3,253
"11",11,"Barkley","Ross","Chelsea","Midfielder",7.8,3.4,2.29,2.6,127
"12",12,"Pickford","Jordan","Everton","Goalkeeper",7.2,3.2,2.25,1.8,154
"13",13,"Pereira Gomes","Felipe Anderson","West Ham","Midfielder",5.8,2.6,2.23,2.9,465
"14",14,"Doherty","Matt","Wolves","Defender",6.2,2.8,2.21,1.55,425
"15",15,"de Andrade","Richarlison","Everton","Midfielder",6.6,3.2,2.06,1.65,393
"16",16,"Trippier","Kieran","Spurs","Defender",6,3,2,3,357
"17",17,"Bong","Gaëtan","Brighton","Defender",4,2.2,1.82,2,51
"18",18,"Murray","Glenn","Brighton","Forward",4,2.2,1.82,2,62
"19",19,"Sánchez","Davinson","Spurs","Defender",5.4,3,1.8,2.7,359
"20",20,"Jiménez","Raúl","Wolves","Forward",5,2.8,1.79,1.25,437
"21",21,"Santana de Moraes","Ederson","Man City","Goalkeeper",6,3.4,1.76,1.5,260
"22",22,"Agüero","Sergio","Man City","Forward",6,3.4,1.76,1.5,280
"23",23,"Duffy","Shane","Brighton","Defender",3.8,2.2,1.73,1.9,49
"24",24,"Hazard","Eden","Chelsea","Midfielder",5.8,3.4,1.71,1.93,122
"25",25,"Chilwell","Benjamin","Leicester","Defender",4.8,2.8,1.71,2.4,219
"26",26,"dos Santos Patrício","Rui Pedro","Wolves","Goalkeeper",4.8,2.8,1.71,1.2,454
"27",27,"Lacazette","Alexandre","Arsenal","Forward",5.4,3.2,1.69,1.8,22
"28",28,"Vokes","Sam","Burnley","Forward",4.4,2.6,1.69,1.47,84
"29",29,"Dubravka","Martin","Newcastle","Goalkeeper",4.4,2.6,1.69,1.47,309
"30",30,"Kane","Harry","Spurs","Forward",5,3,1.67,2.5,372
"31",31,"Sané","Leroy","Man City","Midfielder",5.6,3.4,1.65,1.4,275
"32",32,"Kayal","Beram","Brighton","Midfielder",3.6,2.2,1.64,1.8,57
"33",33,"Schindler","Christopher","Huddersfield","Defender",4.6,2.8,1.64,2.3,192
"34",34,"Maguire","Harry","Leicester","Defender",4.6,2.8,1.64,2.3,220
"35",35,"Castro Otto","Jonathan","Wolves","Defender",4.6,2.8,1.64,1.15,483
"36",36,"Özil","Mesut","Arsenal","Midfielder",5.2,3.2,1.62,1.73,13
"37",37,"Murphy","Josh","Cardiff","Midfielder",4.2,2.6,1.62,2.1,106
