"","second_name","first_name","team_name","position","mean_points_last_5","difficulty_next_5","t_score","t_score_cpt"
"1","Martial","Anthony","Man Utd","Midfielder",10.8,3,"3.60","5.40"
"2","Dunk","Lewis","Brighton","Defender",6.8,2.6,"2.62","2.27"
"3","Aubameyang","Pierre-Emerick","Arsenal","Forward",7.8,3,"2.60","2.60"
"4","Ryan","Mathew","Brighton","Goalkeeper",6.6,2.6,"2.54","2.20"
"5","Foyth","Juan","Spurs","Defender",7.5,3,"2.50","1.88"
"6","Salah","Mohamed","Liverpool","Midfielder",7.2,3,"2.40","2.40"
"7","Barkley","Ross","Chelsea","Midfielder",7.8,3.4,"2.29","1.95"
"8","Pickford","Jordan","Everton","Goalkeeper",7.4,3.4,"2.18","3.70"
"9","Pereira Gomes","Felipe Anderson","West Ham","Midfielder",5.6,2.6,"2.15","1.12"
"10","Paterson","Callum","Cardiff","Midfielder",6,2.8,"2.14","2.00"
"11","Lloris","Hugo","Spurs","Goalkeeper",6.2,3,"2.07","1.55"
"12","Wilson","Callum","Bournemouth","Forward",7.4,3.6,"2.06","1.85"
"13","Saltor Grau","Bruno","Brighton","Defender",5.2,2.6,"2.00","1.73"
"14","Sterling","Raheem","Man City","Midfielder",6.4,3.2,"2.00","2.13"
"15","Jiménez","Raúl","Wolves","Forward",5.2,2.6,"2.00","2.60"
"16","de Andrade","Richarlison","Everton","Midfielder",6.6,3.4,"1.94","3.30"
"17","Silva","David","Man City","Midfielder",6.2,3.2,"1.94","2.07"
"18","Dubravka","Martin","Newcastle","Goalkeeper",4.6,2.4,"1.92","2.30"
"19","Alonso","Marcos","Chelsea","Defender",6.4,3.4,"1.88","1.60"
"20","Robertson","Andrew","Liverpool","Defender",5.6,3,"1.87","1.87"
"21","Nunes do Nascimento","Robert Kenedy","Newcastle","Midfielder",4.4,2.4,"1.83","2.20"
"22","Agüero","Sergio","Man City","Forward",5.8,3.2,"1.81","1.93"
"23","Rüdiger","Antonio","Chelsea","Defender",6,3.4,"1.76","1.50"
"24","Sigurdsson","Gylfi","Everton","Midfielder",5.8,3.4,"1.71","2.90"
"25","Schindler","Christopher","Huddersfield","Defender",4.8,2.8,"1.71","1.60"
"26","Chilwell","Benjamin","Leicester","Defender",4.8,2.8,"1.71","1.60"
"27","Mahrez","Riyad","Man City","Midfielder",5.4,3.2,"1.69","1.80"
"28","van Dijk","Virgil","Liverpool","Defender",5,3,"1.67","1.67"
"29","Murray","Glenn","Brighton","Forward",4.2,2.6,"1.62","1.40"
"30","Santana de Moraes","Ederson","Man City","Goalkeeper",5.2,3.2,"1.62","1.73"
"31","Lacazette","Alexandre","Arsenal","Forward",4.8,3,"1.60","1.60"
"32","Ramses Becker","Alisson","Liverpool","Goalkeeper",4.8,3,"1.60","1.60"
"33","Lamela","Erik","Spurs","Midfielder",4.8,3,"1.60","1.20"
"34","Pérez","Ayoze","Newcastle","Forward",3.8,2.4,"1.58","1.90"
"35","Fernández","Federico","Newcastle","Defender",3.8,2.4,"1.58","1.90"
"36","Fraser","Ryan","Bournemouth","Midfielder",5.6,3.6,"1.56","1.40"
"37","Stones","John","Man City","Defender",5,3.2,"1.56","1.67"
"38","Mendy","Benjamin","Man City","Defender",5,3.2,"1.56","1.67"
"39","Duffy","Shane","Brighton","Defender",4,2.6,"1.54","1.33"
"40","Bong","Gaëtan","Brighton","Defender",4,2.6,"1.54","1.33"
"41","Doherty","Matt","Wolves","Defender",4,2.6,"1.54","2.00"
"42","Morata","Álvaro","Chelsea","Forward",5.2,3.4,"1.53","1.30"
"43","Mané","Sadio","Liverpool","Midfielder",4.6,3,"1.53","1.53"
"44","Schmeichel","Kasper","Leicester","Goalkeeper",4.2,2.8,"1.50","1.40"
"45","Barbosa Pereira","Ricardo Domingos","Leicester","Defender",4.2,2.8,"1.50","1.40"
"46","Yedlin","DeAndre","Newcastle","Defender",3.6,2.4,"1.50","1.80"
"47","Alderweireld","Toby","Spurs","Defender",4.4,3,"1.47","1.10"
"48","Pereyra","Roberto","Watford","Midfielder",5,3.4,"1.47","1.25"
"49","March","Solomon","Brighton","Midfielder",3.8,2.6,"1.46","1.27"
"50","Luiz Rosa","Fernando","Man City","Midfielder",4.6,3.2,"1.44","1.53"
"51","Sané","Leroy","Man City","Midfielder",4.6,3.2,"1.44","1.53"
"52","Veiga de Carvalho e Silva","Bernardo Mota","Man City","Midfielder",4.6,3.2,"1.44","1.53"
"53","Gudmundsson","Johann Berg","Burnley","Midfielder",4,2.8,"1.43","2.00"
"54","Löwe","Chris","Huddersfield","Defender",4,2.8,"1.43","1.33"
"55","Ndidi","Wilfred","Leicester","Midfielder",4,2.8,"1.43","1.33"
"56","Luiz Moreira Marinho","David","Chelsea","Defender",4.8,3.4,"1.41","1.20"
"57","Arrizabalaga","Kepa","Chelsea","Goalkeeper",4.8,3.4,"1.41","1.20"
"58","Shaqiri","Xherdan","Liverpool","Midfielder",4.2,3,"1.40","1.40"
"59","Begovic","Asmir","Bournemouth","Goalkeeper",5,3.6,"1.39","1.25"
"60","Kayal","Beram","Brighton","Midfielder",3.6,2.6,"1.38","1.20"
"61","Laporte","Aymeric","Man City","Defender",4.4,3.2,"1.38","1.47"
"62","Keane","Michael","Everton","Defender",4.6,3.4,"1.35","2.30"
"63","Lovren","Dejan","Liverpool","Defender",4,3,"1.33","1.33"
"64","Dummett","Paul","Newcastle","Defender",3.2,2.4,"1.33","1.60"
"65","Trippier","Kieran","Spurs","Defender",4,3,"1.33","1.00"
"66","Sánchez","Davinson","Spurs","Defender",4,3,"1.33","1.00"
"67","Fabianski","Lukasz","West Ham","Goalkeeper",3.4,2.6,"1.31","0.68"
"68","Reid","Bobby","Cardiff","Forward",3.6,2.8,"1.29","1.20"
"69","Azpilicueta","César","Chelsea","Defender",4.4,3.4,"1.29","1.10"
"70","Hazard","Eden","Chelsea","Midfielder",4.4,3.4,"1.29","1.10"
"71","Coleman","Seamus","Everton","Defender",4.4,3.4,"1.29","2.20"
"72","Femenía Far","Francisco","Watford","Defender",4.4,3.4,"1.29","1.10"
"73","Milivojevic","Luka","Crystal Palace","Midfielder",3.8,3,"1.27","0.95"
"74","Schürrle","André","Fulham","Midfielder",3.8,3,"1.27","1.90"
"75","Gomez","Joseph","Liverpool","Defender",3.8,3,"1.27","1.27"
"76","Rodrigues Moura da Silva","Lucas","Spurs","Midfielder",3.8,3,"1.27","0.95"
"77","Rondón","Salomón","Newcastle","Forward",3,2.4,"1.25","1.50"
"78","Borges Da Silva","Willian","Chelsea","Midfielder",4.2,3.4,"1.24","1.05"
"79","Foster","Ben","Watford","Goalkeeper",4.2,3.4,"1.24","1.05"
"80","Arnautovic","Marko","West Ham","Forward",3.2,2.6,"1.23","0.64"
"81","Balbuena","Fabián","West Ham","Defender",3.2,2.6,"1.23","0.64"
"82","dos Santos Patrício","Rui Pedro","Wolves","Goalkeeper",3.2,2.6,"1.23","1.60"
"83","Brooks","David","Bournemouth","Midfielder",4.4,3.6,"1.22","1.10"
"84","Bamba","Sol","Cardiff","Defender",3.4,2.8,"1.21","1.13"
"85","Hogg","Jonathan","Huddersfield","Midfielder",3.4,2.8,"1.21","1.13"
"86","Pritchard","Alex","Huddersfield","Midfielder",3.4,2.8,"1.21","1.13"
"87","Sissoko","Moussa","Spurs","Midfielder",3.6,3,"1.20","0.90"
"88","McCarthy","Alex","Southampton","Goalkeeper",3.8,3.2,"1.19","1.90"
"89","Capoue","Etienne","Watford","Midfielder",4,3.4,"1.18","1.00"
"90","Aké","Nathan","Bournemouth","Defender",4.2,3.6,"1.17","1.05"
"91","da Silva Neves","Rúben Diogo","Wolves","Midfielder",3,2.6,"1.15","1.50"
"92","Cavaleiro","Ivan","Wolves","Midfielder",3,2.6,"1.15","1.50"
"93","Vokes","Sam","Burnley","Forward",3.2,2.8,"1.14","1.60"
"94","Özil","Mesut","Arsenal","Midfielder",3.4,3,"1.13","1.13"
"95","Ramsey","Aaron","Arsenal","Midfielder",3.4,3,"1.13","1.13"
"96","Kane","Harry","Spurs","Forward",3.4,3,"1.13","0.85"
"97","Doucouré","Abdoulaye","Watford","Midfielder",3.8,3.4,"1.12","0.95"
"98","Francis","Simon","Bournemouth","Defender",4,3.6,"1.11","1.00"
"99","Izquierdo Mena","José Heriberto","Brighton","Midfielder",2.8,2.6,"1.08","0.93"
"100","Lascelles","Jamaal","Newcastle","Defender",2.6,2.4,"1.08","1.30"
"101","Bellerín","Héctor","Arsenal","Defender",3.2,3,"1.07","1.07"
"102","Hart","Joe","Burnley","Goalkeeper",3,2.8,"1.07","1.50"
"103","Murphy","Josh","Cardiff","Midfielder",3,2.8,"1.07","1.00"
"104","Camarasa","Víctor","Cardiff","Midfielder",3,2.8,"1.07","1.00"
