"","id","second_name","first_name","team_name","position","mean_points_last_5","difficulty_next_5","t_score_cpt","t_score"
"1",270,"Sterling","Raheem","Man City","Midfielder",9.6,2.8,"2.40","3.43"
"2",275,"Sané","Leroy","Man City","Midfielder",9.2,2.8,"2.30","3.29"
"3",465,"Pereira Gomes","Felipe Anderson","West Ham","Midfielder",7.2,2.2,"3.60","3.27"
"4",372,"Kane","Harry","Spurs","Forward",7.2,2.8,"2.40","2.57"
"5",437,"Jiménez","Raúl","Wolves","Forward",6.6,3,"3.30","2.20"
"6",245,"Alexander-Arnold","Trent","Liverpool","Defender",7,3.2,"2.33","2.19"
"7",23,"Aubameyang","Pierre-Emerick","Arsenal","Forward",6,2.8,"3.00","2.14"
"8",400,"Fabianski","Lukasz","West Ham","Goalkeeper",4.6,2.2,"2.30","2.09"
"9",419,"Hernández Balcázar","Javier","West Ham","Forward",4.6,2.2,"2.30","2.09"
"10",271,"Silva","David","Man City","Midfielder",5.8,2.8,"1.45","2.07"
"11",246,"van Dijk","Virgil","Liverpool","Defender",6.4,3.2,"2.13","2.00"
"12",301,"Martial","Anthony","Man Utd","Midfielder",5.6,2.8,"2.80","2.00"
"13",393,"de Andrade","Richarlison","Everton","Midfielder",6.6,3.4,"2.20","1.94"
"14",417,"Arnautovic","Marko","West Ham","Forward",4.2,2.2,"2.10","1.91"
"15",367,"Son","Heung-Min","Spurs","Midfielder",5.2,2.8,"1.73","1.86"
"16",493,"Rondón","Salomón","Newcastle","Forward",5.4,3,"1.80","1.80"
"17",480,"Mitrovic","Aleksandar","Fulham","Forward",4.6,2.6,"1.15","1.77"
"18",468,"Ramses Becker","Alisson","Liverpool","Goalkeeper",5.6,3.2,"1.87","1.75"
"19",345,"Armstrong","Stuart","Southampton","Midfielder",5.2,3,"2.60","1.73"
"20",489,"Snodgrass","Robert","West Ham","Midfielder",3.8,2.2,"1.90","1.73"
"21",43,"Wilson","Callum","Bournemouth","Forward",5.8,3.4,"1.45","1.71"
"22",199,"Mooy","Aaron","Huddersfield","Midfielder",4.8,2.8,"1.20","1.71"
"23",247,"Robertson","Andrew","Liverpool","Defender",5.4,3.2,"1.80","1.69"
"24",149,"Townsend","Andros","Crystal Palace","Midfielder",5.6,3.4,"1.87","1.65"
"25",219,"Chilwell","Benjamin","Leicester","Defender",5.6,3.4,"1.40","1.65"
"26",192,"Schindler","Christopher","Huddersfield","Defender",4.6,2.8,"1.15","1.64"
"27",364,"Eriksen","Christian","Spurs","Midfielder",4.6,2.8,"1.53","1.64"
"28",125,"Rodríguez Ledesma","Pedro","Chelsea","Midfielder",5.2,3.2,"1.04","1.62"
"29",213,"Schmeichel","Kasper","Leicester","Goalkeeper",5.4,3.4,"1.35","1.59"
"30",198,"Kongolo","Terence","Huddersfield","Defender",4.4,2.8,"1.10","1.57"
"31",276,"Veiga de Carvalho e Silva","Bernardo Mota","Man City","Midfielder",4.4,2.8,"1.10","1.57"
"32",280,"Agüero","Sergio","Man City","Forward",4.4,2.8,"1.10","1.57"
"33",253,"Salah","Mohamed","Liverpool","Midfielder",5,3.2,"1.67","1.56"
"34",257,"Firmino","Roberto","Liverpool","Forward",5,3.2,"1.67","1.56"
"35",415,"Antonio","Michail","West Ham","Midfielder",3.4,2.2,"1.70","1.55"
"36",157,"Coleman","Seamus","Everton","Defender",5.2,3.4,"1.73","1.53"
"37",58,"March","Solomon","Brighton","Midfielder",4.8,3.2,"2.40","1.50"
"38",195,"Jorgensen","Mathias","Huddersfield","Defender",4.2,2.8,"1.05","1.50"
"39",370,"Rodrigues Moura da Silva","Lucas","Spurs","Midfielder",4.2,2.8,"1.40","1.50"
"40",221,"Barbosa Pereira","Ricardo Domingos","Leicester","Defender",5,3.4,"1.25","1.47"
"41",223,"Mahrez","Riyad","Man City","Midfielder",4,2.8,"1.00","1.43"
"42",274,"Gündogan","Ilkay","Man City","Midfielder",4,2.8,"1.00","1.43"
"43",299,"Herrera","Ander","Man Utd","Midfielder",4,2.8,"2.00","1.43"
"44",40,"Fraser","Ryan","Bournemouth","Midfielder",4.8,3.4,"1.20","1.41"
"45",48,"Dunk","Lewis","Brighton","Defender",4.4,3.2,"2.20","1.38"
"46",254,"Milner","James","Liverpool","Midfielder",4.4,3.2,"1.47","1.38"
"47",462,"Shaqiri","Xherdan","Liverpool","Midfielder",4.4,3.2,"1.47","1.38"
"48",22,"Lacazette","Alexandre","Arsenal","Forward",3.8,2.8,"1.90","1.36"
"49",101,"Paterson","Callum","Cardiff","Midfielder",3.8,2.8,"1.90","1.36"
"50",549,"Foyth","Juan","Spurs","Defender",3.8,2.8,"1.27","1.36"
"51",172,"Sigurdsson","Gylfi","Everton","Midfielder",4.6,3.4,"1.53","1.35"
"52",115,"Alonso","Marcos","Chelsea","Defender",4.2,3.2,"0.84","1.31"
"53",498,"Arrizabalaga","Kepa","Chelsea","Goalkeeper",4.2,3.2,"0.84","1.31"
"54",450,"Torreira","Lucas","Arsenal","Midfielder",3.6,2.8,"1.80","1.29"
